# Event_ID epsilon2 phi2
1320 0.454320 -0.244154
1325 0.484477 -1.114830
1332 0.521592 0.791085
1338 0.582956 -0.777181
1343 0.328808 -0.350541
1348 0.402955 -0.911665
1353 0.598152 0.544379
1359 0.204833 -1.195410
1360 0.361989 0.269963
1365 0.184478 1.450150
1368 0.270039 -0.907166
1377 0.646650 0.341372
1392 0.412683 -1.363450
1399 0.384777 0.191893
1403 0.739212 0.081831
1405 0.152992 -0.456028
1412 0.526740 1.014280
1422 0.508772 -0.532170
1423 0.257243 -0.809944
1427 0.625688 1.141670
1432 0.408738 0.378468
1436 0.447494 -1.132930
1445 0.315611 0.153040
1454 0.689510 -1.336260
1461 0.400262 -0.258997
1462 0.468251 0.556816
1474 0.520535 1.359070
1477 0.470460 0.030008
1480 0.356101 -0.438165
1483 0.411202 -1.065130
1487 0.635333 -1.241090
1491 0.385957 1.151920
1494 0.374915 -0.268004
1498 0.245005 -0.235307
1499 0.400310 -0.122892
1500 0.464020 -0.680373
1509 0.425020 1.498960
1519 0.313009 -0.370726
1522 0.446367 0.590040
1523 0.281285 0.251460
1532 0.451852 -0.278496
1534 0.356962 1.316860
1547 0.564351 -1.037250
1555 0.692269 0.934620
1563 0.620295 1.519540
1570 0.253137 1.254280
1571 0.427370 1.273020
1575 0.311706 -1.316960
1582 0.327178 0.381185
1583 0.307450 1.306670
1586 0.369909 -0.603065
1587 0.383976 0.017718
1589 0.642849 -1.509870
1593 0.487253 -0.316529
1597 0.438088 -0.926705
1611 0.522901 -0.435414
1615 0.629730 -0.175419
1616 0.483353 1.383350
1619 0.348181 -0.014917
1622 0.697102 -0.520318
1625 0.435034 -0.778848
1635 0.531848 -1.451750
1643 0.458067 1.353000
1644 0.443944 1.253000
1646 0.542249 -0.094146
1651 0.674375 0.103235
1658 0.373684 -1.344150
1664 0.480531 -0.271621
1666 0.355139 1.002220
1667 0.480272 -1.425880
1674 0.534626 -0.792734
1678 0.417255 -0.811820
1680 0.470343 1.064500
1683 0.462340 -1.461870
1699 0.321280 -1.298500
1708 0.400414 1.173480
1709 0.417268 -0.097448
1710 0.518104 0.401378
1716 0.287189 0.468279
1720 0.714565 0.429306
1725 0.453162 0.505706
1731 0.576635 -0.930926
1735 0.436109 -0.609049
1742 0.464399 0.680285
1744 0.264125 -0.309256
1749 0.367463 1.116210
1754 0.550402 -0.660809
1763 0.510442 -1.339800
1772 0.428545 0.345010
1778 0.573862 0.985124
1782 0.304834 0.821479
1792 0.317614 -0.199728
1795 0.503184 0.346970
1797 0.369642 1.189450
1803 0.529010 -0.122234
1809 0.552058 -1.569180
1815 0.295071 -1.028640
1816 0.492522 0.293776
1819 0.423382 1.160290
1822 0.170141 -0.384215
1824 0.337572 0.341823
1827 0.263677 -0.729333
1829 0.598451 1.069710
1831 0.658005 0.247665
1837 0.635929 1.256980
1851 0.560192 0.453399
1854 0.364421 1.179840
1865 0.391483 0.790589
1866 0.307912 -0.452624
1869 0.494542 -0.545170
1877 0.589355 -0.744092
1885 0.306155 -0.428639
1889 0.566272 -1.165930
1892 0.329502 -1.210900
1895 0.374724 -0.584816
1897 0.477779 0.133391
1904 0.590972 -1.469300
1910 0.409116 -1.388580
1916 0.166786 1.375670
1924 0.629529 0.991952
1926 0.521567 1.101610
1929 0.584000 0.906112
1933 0.582669 1.488760
1945 0.475714 1.141600
1953 0.654654 -0.868288
1955 0.507817 0.258914
1960 0.438532 0.447902
1961 0.433258 -0.404777
1963 0.377222 -0.278268
1967 0.490748 1.039140
1976 0.501462 0.498521
1977 0.632097 -1.035240
1979 0.495729 -1.203630
1980 0.528591 -0.352672
1992 0.535506 -0.028125
2004 0.584925 1.334300
2012 0.409915 -0.840213
2013 0.155583 1.305030
2018 0.563114 -0.649626
2019 0.446588 -0.465530
2022 0.515538 0.597577
2024 0.393880 -1.270490
2030 0.502997 -0.683982
2034 0.443511 -0.221541
2038 0.485553 0.101345
2042 0.507929 1.474450
2049 0.344970 -0.497263
2053 0.528832 -0.401112
2055 0.598915 -0.995691
2057 0.405696 -1.166520
2066 0.207255 0.902847
2070 0.335072 -0.791061
2080 0.482692 0.757879
2084 0.388206 -0.613100
2086 0.543241 -0.996129
2092 0.571899 -0.787047
2101 0.262552 -1.230460
2112 0.334470 0.499291
2122 0.362903 1.342320
2134 0.392133 0.937449
2142 0.521606 0.338464
2143 0.441803 -0.053419
2145 0.224673 -0.870025
2146 0.512943 1.258960
2150 0.457937 -0.105337
2154 0.471009 0.681730
2160 0.241472 1.225570
2162 0.616269 0.048366
2165 0.610671 1.334310
2167 0.440822 -0.995541
2172 0.527016 0.992410
2173 0.590463 -0.782412
2178 0.583902 -0.414028
2179 0.594331 -1.565560
2180 0.376348 -0.868035
2181 0.488450 -1.176860
2184 0.188795 1.301680
2185 0.249216 -1.278260
2186 0.355356 -0.248295
2187 0.400210 0.243242
2199 0.438790 -0.134172
2202 0.304285 -0.973052
2203 0.514973 0.740816
2205 0.292841 -0.194565
2206 0.537981 1.083450
2216 0.673504 -1.386550
2220 0.283204 -1.534640
2227 0.366602 0.116117
2234 0.404759 -0.389206
2241 0.472897 -0.532399
2247 0.307783 -0.980258
2248 0.382069 -0.065224
2269 0.675438 1.182810
2271 0.270086 0.995898
2272 0.408424 -1.195800
2274 0.369958 0.405169
2277 0.279200 0.605544
2282 0.380268 -0.431128
2283 0.542407 1.560440
2285 0.350369 0.811646
2286 0.467796 0.344839
2287 0.562622 1.263510
2288 0.518238 -0.870323
2301 0.507656 -0.156206
2314 0.463195 0.944617
2328 0.249613 0.294702
2329 0.103397 0.725389
2339 0.325130 0.954170
2345 0.734275 0.219733
2347 0.356869 -0.800446
2350 0.630944 -1.384310
2363 0.581167 -0.947009
2364 0.686294 -1.568700
2369 0.372364 -0.632187
2372 0.569764 1.234800
2374 0.231252 -0.238864
2386 0.437280 -0.502768
2390 0.324979 0.548389
2393 0.390795 -0.936081
2402 0.315851 -0.353888
2411 0.548007 0.829763
2426 0.380984 1.481180
2435 0.336086 0.845032
2436 0.552536 -1.191170
2440 0.665691 -0.998456
2449 0.432090 -1.349790
2456 0.314424 0.781580
2463 0.272348 1.533170
2464 0.440265 -0.667851
2466 0.630154 -0.527155
2477 0.461229 -0.624696
2480 0.395559 -0.581625
2483 0.344347 -1.067130
2492 0.460184 0.601354
2494 0.248170 -1.073670
2500 0.393132 -0.369851
2502 0.567723 -0.959797
2503 0.235149 -0.855457
2504 0.389930 -0.836132
2506 0.432749 0.157123
2507 0.292235 1.488980
2515 0.526131 0.213567
2522 0.482561 -1.380790
2525 0.292337 -0.830616
2530 0.462854 0.057683
2532 0.594153 1.003970
2534 0.403886 0.830523
2536 0.494017 -0.595638
2537 0.443979 -0.966483
2538 0.257522 0.614066
2542 0.611909 -0.174140
2543 0.634810 0.864220
2548 0.384732 0.197645
2555 0.428727 0.151178
2558 0.587972 -1.135250
2559 0.580367 0.721175
2566 0.596773 0.706122
2571 0.383633 0.571802
2572 0.459096 1.365160
2574 0.377301 -0.771032
2576 0.675758 -0.091116
2577 0.187845 0.989469
2579 0.264820 1.141030
2586 0.349243 0.657530
2587 0.502935 0.517212
2603 0.601375 0.558384
2606 0.569566 -0.196350
2612 0.478312 0.682685
2621 0.412367 -0.810531
2623 0.598942 -0.062976
2624 0.405229 -0.783104
2625 0.352154 -0.061975
2632 0.129115 0.169051
2635 0.332919 -1.437970
2641 0.582438 -1.295940
2649 0.598751 -1.395190
2652 0.328159 -0.365206
2653 0.558945 0.453022
2655 0.559948 -1.354820
2661 0.410622 -1.367480
2665 0.326162 1.289660
2666 0.454501 0.120869
2674 0.643526 -0.220469
2678 0.338001 0.963026
2683 0.424225 -0.550765
2688 0.270634 -0.435191
2696 0.666839 -1.411620
2706 0.476208 1.402900
2708 0.446284 0.998232
2709 0.533074 -1.038430
2715 0.607635 1.000950
2716 0.381438 -0.738169
2717 0.415672 0.079605
2718 0.486197 1.034710
2732 0.530247 0.648668
2737 0.427415 -1.488990
2739 0.539340 0.569753
2740 0.326634 0.275540
2746 0.509008 1.299280
2750 0.392520 -1.440400
2753 0.457588 -1.534010
2755 0.450303 0.163405
2763 0.492994 0.283217
2770 0.479333 -0.049637
2796 0.377223 1.043830
2797 0.539118 -0.285972
