# Event_ID epsilon2 phi2
267 0.668197 -1.301100
268 0.350693 -0.960958
269 0.202137 0.399795
270 0.718226 -0.383062
271 0.815481 -0.487226
272 0.727131 -0.902048
273 0.134217 0.735464
274 0.705538 -0.889839
275 0.603643 -0.117998
276 0.308825 -0.708910
277 0.196238 0.391346
278 0.463300 1.323160
279 0.602316 0.367780
280 0.127505 -0.923513
281 0.635445 -1.354680
282 0.230236 0.471699
283 0.162072 -1.038470
284 0.343481 -1.244710
285 0.363797 -1.432060
286 0.918479 -0.994736
287 0.323965 -0.519916
288 0.291237 -1.210290
289 0.265797 0.494231
290 0.111099 1.063200
291 0.637894 -0.893563
293 0.457681 0.790708
294 0.491308 0.237663
295 0.392666 1.258880
296 0.698460 1.172680
297 0.100667 -0.534321
298 0.386864 1.442920
299 0.349544 0.319307
300 0.168583 -0.484911
301 0.344443 -0.871852
302 0.355180 0.082363
304 0.723513 0.960959
305 0.419466 1.220710
306 0.832911 -0.767935
307 0.295497 0.965619
308 0.364258 1.221330
309 0.052518 0.187466
310 0.279854 -0.758623
311 0.240653 -0.579105
312 0.084683 0.950817
313 0.213966 0.524712
314 0.450298 0.728842
315 0.388474 0.722081
316 0.823973 -1.034690
317 0.830389 0.017694
318 0.307362 0.944033
319 0.553877 -0.665874
320 0.534657 -1.563120
321 0.564976 -0.976818
322 0.340440 -0.629793
323 0.177669 1.284470
324 0.530703 -1.455430
325 0.354528 -0.851590
326 0.436537 1.381370
327 0.097301 1.243110
328 0.537438 -1.411800
329 0.070788 -1.465910
330 0.066512 0.176852
331 0.708091 1.551040
332 0.229479 -1.340630
333 0.167178 1.376560
335 0.302317 0.786305
336 0.343542 -0.277820
337 0.535205 -1.354910
338 0.061202 0.682163
339 0.267620 0.534906
340 0.189084 1.235590
342 0.361588 -0.897483
343 0.407567 0.311936
344 0.324083 0.949028
345 0.568621 -0.169656
346 0.462566 -0.558303
347 0.176520 0.557738
348 0.590988 0.908114
349 0.732688 -1.543300
350 0.734438 -1.098010
351 0.095627 -1.552150
352 0.164370 -0.411580
353 0.033145 -0.758640
354 0.568230 -0.741022
355 0.224046 0.880647
356 0.337814 1.011700
357 0.463788 -1.169180
358 0.482339 1.237230
359 0.064530 -0.389051
360 0.085196 1.260200
361 0.283871 -0.355551
362 0.287799 0.560883
363 0.330258 1.047660
364 0.112794 -0.520966
365 0.552068 0.763701
366 0.254921 -0.042463
367 0.712155 -1.235600
368 0.391138 0.174396
369 0.144604 -1.544870
370 0.732614 -1.276600
371 0.296660 -1.302800
372 0.076372 1.072400
373 0.175688 -1.238540
374 0.015027 0.703255
375 0.192011 -0.740134
376 0.609129 0.138877
377 0.770509 0.379330
378 0.105170 0.981589
380 0.271181 -1.137040
382 0.110460 1.492660
383 0.733396 1.181930
384 0.792754 0.236651
385 0.277524 0.481839
386 0.110812 0.692641
387 0.201304 0.174602
388 0.252615 0.333126
389 0.553433 -0.962449
390 0.172088 -1.441170
392 0.103439 -0.077548
393 0.596870 0.597471
394 0.181609 0.185451
395 0.373874 1.507210
396 0.213704 0.594953
397 0.144271 -1.018280
398 0.363751 -0.725119
399 0.650490 -0.535188
400 0.534215 -1.486830
401 0.167888 0.222594
402 0.164868 -1.000390
403 0.307109 0.907335
404 0.619058 -0.995852
405 0.196119 1.350670
406 0.046755 -1.471180
407 0.485482 1.216670
408 0.462713 -0.350032
409 0.032049 0.464137
410 0.870187 0.963207
411 0.127144 -0.543210
412 0.141316 -0.575731
413 0.707397 1.364170
414 0.444814 0.179066
415 0.836218 0.273016
416 0.500039 -0.876733
417 0.646596 0.530632
418 0.407326 -0.286392
419 0.788714 1.528370
421 0.227303 -0.715178
422 0.130621 1.245550
423 0.346301 0.046707
424 0.130814 1.440330
425 0.081498 0.624751
426 0.320456 1.276850
428 0.207751 0.199865
429 0.299455 0.295111
430 0.118938 -0.737597
431 0.164067 -0.868898
432 0.101559 -1.160270
433 0.202411 -1.094490
434 0.327159 -0.317833
435 0.121062 1.352510
436 0.440477 -0.824527
437 0.673225 0.943040
438 0.630847 0.281415
439 0.164370 0.589845
440 0.311234 0.872287
441 0.103657 -1.300610
442 0.385115 -0.716939
443 0.312651 0.606187
444 0.548554 0.805188
445 0.164191 0.005040
446 0.577730 -1.049240
447 0.279645 1.326200
448 0.686013 -0.150657
449 0.437361 -1.366740
450 0.322976 -0.260618
451 0.183606 -0.508571
452 0.075577 0.554227
453 0.083474 -0.598976
454 0.080119 0.827885
455 0.388112 -0.416794
456 0.188353 -0.396638
457 0.641961 0.092008
458 0.726118 0.627676
459 0.127332 0.535723
460 0.214877 -0.997482
461 0.069428 -0.370772
462 0.477430 0.766146
463 0.257467 1.171280
464 0.156266 0.252338
465 0.126732 1.393230
466 0.312514 -0.689068
467 0.014668 0.067385
468 0.821334 0.087665
469 0.358408 -1.027770
470 0.181129 -0.760909
471 0.737235 -0.424325
472 0.366251 0.285258
473 0.200795 -0.258989
474 0.049106 0.281082
475 0.338069 -1.556380
476 0.482826 -0.022488
477 0.354906 0.534001
478 0.688652 -0.711139
479 0.510530 -1.250210
480 0.861492 0.058669
481 0.154785 -0.043594
482 0.631691 -0.709693
483 0.122878 -1.170740
484 0.378324 0.136556
485 0.393445 0.776299
486 0.524822 -1.302780
487 0.363059 -1.436910
488 0.302528 -0.917256
489 0.406565 1.077080
490 0.776763 0.730973
491 0.230392 0.724135
492 0.390804 0.867563
494 0.705468 -1.285960
495 0.444817 -0.668676
496 0.317783 -1.225800
497 0.101005 -0.080551
498 0.426298 -1.414850
499 0.783058 0.707734
500 0.179464 -0.453831
501 0.677262 -1.348550
502 0.574995 0.258001
503 0.249820 -0.516349
504 0.474618 0.099725
505 0.907707 -1.546620
506 0.074691 -1.532320
507 0.475487 -1.132110
508 0.343585 1.450270
509 0.142865 -1.019200
510 0.411750 1.436100
511 0.643613 -1.027310
512 0.542925 -0.727855
513 0.390610 0.986737
514 0.090435 -0.382239
515 0.276920 1.040740
516 0.577439 0.046203
517 0.011996 -1.104220
518 0.503251 -0.150565
519 0.655493 -1.305720
520 0.401947 -1.022360
521 0.296106 -0.224230
522 0.766162 0.041525
523 0.138483 0.455343
525 0.144587 0.011278
526 0.494330 1.562230
527 0.771368 -0.394711
528 0.525180 -1.260020
