# Event_ID    q2    Psi_EP
26 0.882089 1.178507
27 2.058092 1.406875
28 2.259791 1.529628
32 3.533080 0.991010
34 3.176826 1.298902
35 2.311570 -0.440679
38 1.971299 0.562578
40 5.151544 0.008148
41 2.628605 -0.888148
46 1.382375 1.523584
57 3.212075 1.494524
61 2.726606 -0.447101
63 3.876498 -1.370495
67 4.339546 -1.178017
77 3.067730 -1.339568
78 6.126303 -1.099645
90 0.850427 -0.582588
96 4.773297 -1.017985
104 2.898735 0.390026
105 3.024954 0.911129
106 2.757883 -0.260211
109 0.680981 0.526531
120 2.571226 -0.917990
123 1.018363 0.968537
128 4.597614 -1.260456
133 1.774522 -1.159823
135 5.668315 0.478250
142 2.971802 0.307290
149 5.323766 -0.938391
161 4.911705 -1.536852
162 1.635122 -0.987354
166 1.402431 -0.888325
169 2.383508 -0.884445
174 3.463274 -0.712381
177 2.441483 -0.402905
181 4.967972 1.207464
186 2.464387 0.794187
189 5.516192 -0.209652
203 1.732823 -1.439033
204 4.029116 -0.029576
206 2.293982 -0.508786
209 3.416339 1.497727
210 1.049441 0.023389
212 3.825823 0.798022
215 2.793010 -1.179667
217 3.531932 1.396255
224 2.304807 0.348719
234 0.287472 -0.459348
236 2.649762 -0.988685
240 3.422338 1.256547
242 3.154687 -0.579211
243 3.764318 1.200640
245 1.897689 -0.857766
247 3.586255 -0.174089
249 2.213030 1.266907
255 3.771399 0.767121
256 4.834416 -1.128746
265 1.538804 -0.297032
274 2.623983 -0.188620
280 3.709594 -0.669675
283 3.027199 -0.907067
291 2.846804 1.343762
292 0.542629 0.432447
295 2.876191 -0.608406
302 4.759121 1.104836
303 3.289768 1.109060
304 4.174497 -1.044304
312 1.909518 0.684886
317 5.166278 1.371711
334 5.852484 0.058198
341 2.243392 0.172617
352 0.175412 -0.922413
353 5.709051 -0.342816
366 4.281976 -1.355061
367 3.754925 -0.676455
376 2.271794 1.114896
377 3.804329 0.766392
379 1.179908 1.382276
381 2.351805 -0.794465
382 1.949708 -0.905797
391 4.716892 1.384125
394 3.047857 1.063606
403 3.602386 -0.223853
404 2.775388 -1.194449
406 3.612828 1.459812
420 1.943062 -0.211086
421 2.932713 1.560289
426 4.240162 -1.304687
427 3.984557 -0.768786
436 4.927860 -1.525235
440 1.505555 0.455809
441 1.470753 0.911001
444 2.995312 1.132823
447 3.291642 -0.403139
449 1.444454 0.173151
461 1.993494 0.300618
475 4.521397 -1.279364
490 4.929462 -0.131947
493 1.074543 -0.641349
498 3.327065 1.009870
499 3.482893 0.529581
501 2.285430 0.328275
509 2.959541 0.927488
515 1.938945 -1.474233
524 2.418457 0.500438
534 3.339327 -1.354744
536 4.926164 1.056954
575 3.251760 0.438425
578 1.421597 -1.525173
579 3.282722 0.486219
581 2.781288 -1.463389
583 2.722335 -0.814860
586 4.143407 0.667996
590 4.962416 1.091069
595 1.114670 -0.256349
604 3.999666 1.039979
607 3.432915 -0.081317
616 2.479560 -0.750478
617 1.699472 1.375526
627 4.225969 -0.469689
636 2.006118 -1.429933
639 3.726831 1.524500
646 3.060401 0.714402
652 0.994584 -0.591775
657 0.267293 -1.055681
665 2.118042 -0.504357
669 1.232964 -0.142530
673 1.495999 1.224542
674 4.887377 -0.525255
689 4.544553 1.495857
693 0.563917 -0.535874
694 2.966888 -0.652716
696 2.580226 0.270058
701 3.544768 -1.054870
714 2.678186 -0.525195
715 0.265547 1.361139
717 3.084926 -1.484029
718 3.291017 0.928025
719 5.186396 0.432449
727 3.371801 -0.277046
731 0.855381 0.085343
732 5.269608 -0.378957
739 4.015665 -1.186130
743 6.074022 -1.003368
745 5.762131 0.669689
747 3.662155 -1.113266
755 3.141539 0.061242
758 3.692321 0.656095
760 3.774451 -0.962430
764 2.706199 -0.512555
777 2.178397 -1.213898
778 2.050956 -0.227417
793 2.406744 -0.225314
801 3.209033 -1.365345
802 2.866840 -0.761588
806 4.634865 -0.373008
810 2.459268 0.822460
817 1.170401 -0.691403
823 0.932601 -0.019562
825 3.314301 1.533564
831 1.414288 -0.374277
832 2.727661 1.417114
836 3.868068 -0.423470
850 4.853302 0.014109
851 2.370426 -1.447983
852 2.308095 1.044629
856 3.120193 1.306373
878 3.446413 -1.070951
902 3.432665 -0.304383
907 2.162743 -0.449880
909 2.587417 0.725954
913 3.019981 0.255225
914 3.111106 0.175035
915 2.524072 -0.502936
920 3.333698 1.127634
924 2.296931 1.207265
929 2.272856 1.313975
930 1.571664 1.381902
932 2.520731 -0.210845
933 2.046533 -0.059784
934 2.136542 -0.664610
941 5.470595 -0.034662
942 0.269934 0.617349
950 4.649480 -0.049719
958 3.261954 -0.744828
959 3.930746 0.401303
964 2.925045 -1.172499
968 1.979696 -0.068613
969 3.527285 -0.193307
973 1.478199 0.130570
977 4.664208 -0.708837
978 2.535469 -1.086054
989 2.749036 -0.399379
1010 1.736910 1.008324
1011 4.148855 0.895110
1012 3.905051 -1.168556
1015 3.600711 1.184269
1026 3.342657 1.074661
1032 2.062482 0.062831
1040 3.775327 -0.858673
1041 2.506508 1.163801
1045 3.341114 0.090311
1047 2.041160 1.098029
1053 3.858872 -1.565949
1057 4.868744 -0.406658
1065 1.944202 -0.168161
1066 4.508145 0.182829
1068 2.822534 1.312810
1078 2.738016 -0.532818
1085 5.167737 0.765695
1092 1.663842 -0.930539
1096 2.278896 -0.111340
1098 6.561197 -0.949483
1100 2.083281 1.474485
1101 1.382390 -1.280239
1106 3.008593 -0.509035
1122 2.547547 -0.133309
1133 0.894668 0.140535
1139 3.446618 0.088347
1144 2.106483 -1.250883
1145 2.340345 -0.386392
1153 1.702876 -0.951961
1162 3.555764 -0.072117
1164 1.329804 0.926707
1174 1.999825 1.104420
1180 0.520052 1.083105
1192 2.139434 -0.826736
1193 0.433510 1.302125
1196 1.709580 -0.295878
1200 3.021309 -0.221944
1205 4.300161 0.945957
1212 1.356444 -1.092519
1224 2.110069 1.545649
1229 2.748630 -1.028260
1244 3.052535 0.145142
1251 2.113527 0.326864
1257 2.539260 0.043573
1263 4.603245 0.988115
1267 3.662003 -1.430531
1270 4.552616 -0.401664
1275 3.053681 -0.282657
1277 2.489557 -1.285485
1282 3.116033 -1.367074
1292 1.775063 0.577097
1295 3.127928 -1.026838
1301 5.746904 -0.047733
1302 2.316023 0.798731
1305 3.721144 0.653034
1306 1.569693 1.246589
1308 3.808355 -0.686240
1319 4.490796 -1.415087
1320 4.499561 1.260860
1325 4.062163 0.689247
1332 1.550390 -0.808209
1338 5.380188 0.727335
1343 2.660859 1.298022
1348 3.199655 0.345682
1353 4.053592 -0.941940
1359 2.426772 0.768562
1360 3.140784 -1.306078
1365 0.502726 -0.528643
1368 1.169856 -0.090507
1377 5.215410 -1.216893
1392 2.054854 -0.041653
1399 4.058468 -1.125192
1403 4.536862 1.570309
1405 0.531581 1.067826
1412 4.472499 -0.546162
1422 2.076543 1.186006
1423 0.125800 0.881530
1427 4.304697 -0.347960
1432 0.836617 -0.971827
1436 3.743880 0.231654
1445 2.860297 -1.452134
1454 4.505697 0.133418
1461 3.029035 1.423295
1462 4.254714 -1.050017
1474 3.967697 -0.183045
1477 2.639874 1.338547
1480 3.701364 1.056359
1483 3.608736 0.535911
1487 4.468999 0.340645
1491 3.843262 -0.420849
1494 2.329467 1.148688
1498 2.831070 1.150757
1499 1.640276 -1.540929
1500 4.263161 1.029299
1509 3.079555 -0.012728
1519 2.504120 1.321703
1522 0.933814 -0.908294
1523 3.154350 -1.489802
1532 2.067279 1.306599
1534 3.205937 -0.586081
1547 5.594916 0.694579
1555 2.733176 -0.755950
1563 3.597326 -0.085400
1570 0.760187 -0.484277
1571 4.387390 -0.328508
1575 2.820808 0.241514
1582 1.947651 -0.709595
1583 2.705294 -0.583660
1586 3.499831 1.109385
1587 1.412305 -1.384025
1589 4.384148 0.124012
1593 3.840585 1.330832
1597 4.459885 0.512411
1611 2.865314 1.179380
1615 2.530644 1.384305
1616 3.909537 -0.166627
1619 3.236244 1.424491
1622 4.508820 1.178205
1625 2.040438 0.639074
1635 3.337413 0.028508
1643 3.144308 -0.245612
1644 3.265520 -0.125736
1646 2.564359 -1.544616
1651 4.583375 1.561399
1658 3.233567 0.184142
1664 2.318483 1.219347
1666 1.602367 -0.148249
1667 4.403997 0.214594
1674 2.773824 0.907832
1678 4.883674 0.909971
1680 3.865254 -0.452743
1683 2.073011 0.455281
1699 3.405489 0.072216
1708 1.971036 -0.717066
1709 2.650579 1.452149
1710 3.581958 -1.256853
1716 0.799568 -1.291297
1720 3.410796 -1.039685
1725 2.023830 -0.948166
1731 2.500024 0.517197
1735 1.500999 0.743327
1742 3.259431 -0.761389
1744 2.701028 1.127697
1749 1.809024 -0.563314
1754 3.469152 1.062627
1763 4.568170 0.223999
1772 2.251422 -1.215432
1778 3.392894 -0.379815
1782 3.005742 -0.799419
1792 2.895987 1.439330
1795 3.054503 -1.238779
1797 4.542139 -0.480142
1803 2.625721 -1.399193
1809 3.165445 0.076613
1815 3.198261 0.484685
1816 2.965550 -1.277091
1819 1.031143 -0.308888
1822 2.265617 1.297532
1824 2.782744 -1.351533
1827 3.760054 0.649084
1829 3.223177 -0.380144
1831 3.317157 -1.336112
1837 4.942499 -0.297976
1851 2.159773 -1.488312
1854 1.562661 -0.112766
1865 2.659682 -1.052460
1866 2.621498 0.939594
1869 2.937627 1.166665
1877 5.938444 0.979729
1885 2.667868 1.186171
1889 3.690583 0.542060
1892 2.473314 0.208052
1895 2.837543 1.014964
1897 3.024792 -1.379019
1904 2.528276 0.132018
1910 3.271126 0.158038
1916 2.210439 -0.382914
1924 6.045089 -0.555609
1926 2.450784 -0.615205
1929 3.667738 -0.672377
1933 4.290716 -0.107037
1945 2.950415 -0.508421
1953 3.786755 0.669447
1955 2.375662 -1.353544
1960 3.878228 -1.254448
1961 2.019619 1.398510
1963 4.159186 1.199158
1967 1.979887 -0.442384
1976 4.876843 -1.070096
1977 2.428136 0.765025
1979 3.567823 0.345435
1980 2.858696 1.318035
1992 3.009099 -1.520386
2004 4.081427 -0.024868
2012 3.461591 0.784113
2013 0.880102 -0.352819
2018 4.610459 0.962475
2019 1.301559 0.780578
2022 1.594835 -1.400591
2024 2.531600 0.080687
2030 5.050502 0.984250
2034 3.628940 1.242329
2038 2.569554 1.535316
2042 3.984261 -0.263317
2049 1.729654 1.135602
2053 5.018508 1.176611
2055 4.935908 0.531930
2057 3.949328 0.566309
2066 0.936272 -0.014853
2070 1.090452 0.994409
2080 3.125776 -0.890815
2084 2.266442 1.143755
2086 2.421534 0.417110
2092 5.566212 0.888430
2101 2.033734 0.346349
2112 3.041936 -1.080404
2122 2.880570 -0.214677
2134 2.628796 -0.702018
2142 2.319296 -1.017817
2143 2.451166 1.477238
2145 1.980852 0.565318
2146 3.285069 -0.375646
2150 2.712692 1.474740
2154 3.396746 -0.822369
2160 1.905657 -0.098950
2162 3.185169 -1.512973
2165 2.978344 -0.523281
2167 2.128164 0.519492
2172 1.794264 -1.134465
2173 2.641596 0.935227
2178 3.450969 1.132830
2179 2.822496 -0.038252
2180 3.943998 0.963461
2181 4.361978 0.436039
2184 1.025281 -0.355643
2185 2.833581 0.267579
2186 2.754484 1.268971
2187 2.997123 -1.061392
2199 2.827855 -1.492756
2202 1.589821 0.554172
2203 3.323942 -0.827456
2205 3.604354 1.373120
2206 3.389478 -0.559691
2216 4.748263 0.101776
2220 1.227032 -0.110375
2227 2.571158 -1.441500
2234 2.349104 1.151074
2241 4.051637 1.243624
2247 1.854725 0.408095
2248 3.774374 1.495194
2269 2.170840 -0.593950
2271 1.321423 -0.860041
2272 2.782646 0.317568
2274 2.025186 -1.328048
2277 1.853762 -1.247873
2282 3.516457 1.113439
2283 3.324215 0.138336
2285 2.968163 -0.866985
2286 4.823002 -1.178861
2287 3.963970 -0.312280
2288 3.297996 0.687687
2301 3.445473 1.430974
2314 2.368489 -0.517287
2328 2.577402 -0.969798
2329 1.865661 -1.019409
2339 2.353175 -0.370599
2345 5.191432 -1.126692
2347 2.141731 0.587722
2350 5.640563 0.214003
2363 3.929063 0.649562
2364 4.198604 0.052219
2369 1.779440 1.020930
2372 2.715029 -0.303946
2374 2.244040 1.543525
2386 1.083035 1.021918
2390 1.168190 -0.859030
2393 2.349728 0.169942
2402 2.602948 1.194743
2411 3.778545 -0.582678
2426 4.005492 0.214357
2435 1.680631 -0.021292
2436 2.043092 0.612057
2440 5.438655 0.466871
2449 2.816800 0.332471
2456 2.547738 -0.805969
2463 1.881309 0.163991
2464 4.450072 0.941724
2466 5.461761 1.038930
2477 2.013752 0.662010
2480 2.387011 0.923484
2483 2.627112 0.376592
2492 4.635798 -1.097738
2494 1.368541 0.007823
2500 3.362694 1.110210
2502 3.447487 0.656228
2503 0.691717 -0.142169
2504 3.859282 0.928491
2506 3.800156 -1.188810
2507 0.460189 -0.259521
2515 1.264797 -1.197837
2522 0.810432 1.152441
2525 1.873996 0.824812
2530 3.571202 1.493376
2532 3.296556 -0.497706
2534 3.210990 -0.630131
2536 4.374089 0.832622
2537 3.353718 0.765050
2538 1.612663 -0.638825
2542 5.931838 1.516249
2543 2.782048 -0.718789
2548 2.600506 -1.340436
2555 3.049741 -1.238498
2558 3.859600 0.457166
2559 3.324534 -0.826356
2566 3.887090 -0.944536
2571 2.338758 -0.874531
2572 2.864653 -0.054812
2574 1.609214 0.626116
2576 4.603101 -1.570795
2577 2.271364 -0.256603
2579 0.804415 -0.544939
2586 3.422345 -0.752411
2587 2.694330 -0.997347
2603 3.878307 -0.809301
2606 4.364815 1.421336
2612 2.353971 -1.084162
2621 1.811717 0.639124
2623 2.988566 -1.505359
2624 1.837384 0.803025
2625 1.712718 -1.314846
2632 0.876464 1.222779
2635 4.643613 0.011362
2641 3.739459 0.026358
2649 4.935299 0.236000
2652 2.916619 -1.566372
2653 3.437700 -1.117095
2655 5.626327 0.162929
2661 2.549625 0.081636
2665 1.619564 -0.419688
2666 1.834265 -1.538553
2674 3.282059 1.186068
2678 1.590986 -1.094821
2683 4.350862 1.111718
2688 2.267553 0.952989
2696 4.775983 0.127486
2706 2.697680 0.265003
2708 0.774636 -0.479211
2709 3.432897 0.587937
2715 3.152797 -0.620814
2716 1.818800 0.855820
2717 0.634842 -0.943046
2718 3.784494 -0.700746
2732 3.781224 -0.918552
2737 4.191161 0.195496
2739 2.947795 -1.044512
2740 2.698699 -1.345433
2746 1.936844 -0.130621
2750 3.622059 0.076979
2753 3.004080 -0.085723
2755 2.722336 1.547714
2763 3.455544 -1.253174
2770 2.906410 -1.456614
2796 4.079589 -0.518706
2797 2.820406 1.275377
2803 3.855996 -0.297384
2804 2.996119 0.195505
2807 2.688537 -1.361016
2810 2.470891 -0.833306
2813 2.020564 0.278502
2815 1.246555 -0.243239
2818 3.314576 0.414306
2820 3.135772 -0.777102
2824 2.381508 -0.882054
2832 1.733861 0.700125
2840 1.146031 0.801950
2842 4.902730 -0.074052
2844 1.865638 1.231252
2848 4.056018 1.337989
2850 3.602067 -1.064655
2855 2.326751 0.876013
2863 5.129519 0.211041
2864 1.398409 0.643781
2872 3.251871 1.059444
2874 3.726195 -0.561796
2875 3.894020 -0.807624
2878 1.119055 -0.647072
2895 3.699069 -0.063863
2896 2.189330 -1.396054
2899 2.498822 -1.368289
2907 1.465681 1.525885
2910 3.702464 -0.788651
2911 4.099896 1.464295
2912 2.099963 -0.289405
2923 5.134954 0.302712
2927 1.796690 -0.901534
2928 2.371828 0.687236
2932 2.217236 0.155356
2940 3.258508 -0.033588
2941 3.639153 -1.135974
2948 2.409995 -0.278085
2949 2.548854 1.154803
2954 1.559111 0.616656
2958 1.923188 1.276238
2968 3.499651 -1.343685
2981 0.653085 -0.028116
2986 2.715349 0.406514
2988 2.242539 1.063780
2990 1.610086 1.134958
2994 3.222196 -0.221704
