# Event_ID q2 Psi_EP epsilon2 phi2
365 6.330859 -0.769768 0.552068 0.763701
366 4.281976 -1.355061 0.602713 0.227138
367 3.754925 -0.676455 0.515036 0.970257
376 2.271794 1.114896 0.563276 -0.526238
377 3.804329 0.766392 0.600271 -0.972580
379 3.157917 -1.536058 0.177704 0.307578
381 2.351805 -0.794465 0.472524 1.158690
382 1.949708 -0.905797 0.234637 0.735921
391 4.716892 1.384125 0.605182 -0.293775
394 3.047857 1.063606 0.438192 -0.360328
400 2.261863 -0.147711 0.534215 -1.486830
403 3.602386 -0.223853 0.563760 1.540540
404 2.775388 -1.194449 0.611933 0.470402
405 1.473219 -0.821347 0.196119 1.350670
406 3.612828 1.459812 0.565831 -0.194027
408 2.632430 1.375343 0.462713 -0.350032
412 2.247455 -1.407531 0.141316 -0.575731
414 4.993022 -1.444316 0.444814 0.179066
420 1.966502 -0.721542 0.618229 1.396070
421 2.932713 1.560289 0.529725 -0.094296
426 4.240162 -1.304687 0.446685 0.176438
427 3.984557 -0.768786 0.558105 0.790041
436 4.927860 -1.525235 0.654050 -0.069079
438 2.629246 -1.450918 0.630847 0.281415
440 1.505555 0.455809 0.125144 -1.272600
441 1.470753 0.911001 0.480699 -0.484728
444 2.995312 1.132823 0.419755 -0.325090
447 3.291642 -0.403139 0.571842 1.200600
449 1.444454 0.173151 0.496232 -1.341360
461 1.993494 0.300618 0.414182 -1.039730
462 1.868664 -0.897634 0.477430 0.766146
475 4.521397 -1.279364 0.527012 0.235304
476 2.916565 1.191731 0.482826 -0.022488
477 0.715040 -1.189277 0.354906 0.534001
479 1.852225 0.196138 0.510530 -1.250210
484 3.108058 1.441442 0.378324 0.136556
490 4.929462 -0.131947 0.687410 1.442080
492 2.036982 -0.879201 0.390804 0.867563
493 1.074543 -0.641349 0.143029 1.074320
495 2.535451 1.039398 0.444817 -0.668676
498 3.327065 1.009870 0.495770 -0.607441
499 3.482893 0.529581 0.679767 -0.935112
501 2.285430 0.328275 0.571053 -1.244080
502 3.370953 -1.448209 0.574995 0.258001
507 3.854862 0.395734 0.475487 -1.132110
508 2.984571 -0.054271 0.343585 1.450270
509 2.959541 0.927488 0.407776 -0.545104
512 1.983854 1.065742 0.542925 -0.727855
513 1.657617 -1.047394 0.390610 0.986737
515 1.938945 -1.474233 0.344704 0.220719
518 5.043928 1.500531 0.503251 -0.150565
519 4.755423 0.395669 0.655493 -1.305720
520 2.747627 0.369300 0.401947 -1.022360
524 2.418457 0.500438 0.399879 -1.192650
526 1.957283 0.011301 0.494330 1.562230
528 3.134957 0.147951 0.525180 -1.260020
534 3.339327 -1.354744 0.507746 0.104423
535 1.270105 0.402615 0.388745 -1.293140
536 4.926164 1.056954 0.651704 -0.609384
550 1.787987 -0.031900 0.618319 -1.472580
556 4.059377 -1.477708 0.595301 0.134090
569 5.276661 1.204816 0.583774 -0.298470
575 4.256610 -0.583275 0.553316 -1.426870
578 1.421597 -1.525173 0.220848 -0.261548
579 3.282722 0.486219 0.400790 -1.107050
581 2.781288 -1.463389 0.640622 0.005980
583 2.722335 -0.814860 0.507981 0.738693
586 1.315219 -1.124721 0.597151 -0.766510
590 4.962416 1.091069 0.530742 -0.586958
591 2.860890 1.311424 0.522538 -0.334623
595 1.114670 -0.256349 0.165511 1.146820
596 2.443224 0.915149 0.386739 -0.444151
600 1.647437 0.788310 0.333062 -1.117540
601 1.895272 -1.335919 0.319813 0.388153
602 2.839316 1.238430 0.307407 -0.335504
604 3.999666 1.039979 0.530531 -0.477066
607 3.432915 -0.081317 0.466891 1.460570
613 1.977791 -0.633426 0.189175 0.942018
616 2.479560 -0.750478 0.559791 0.990936
617 1.699472 1.375526 0.435974 -0.658900
619 3.300370 -0.255081 0.469819 1.384000
622 3.515374 1.037394 0.510971 -0.386979
625 3.073865 -1.382174 0.576135 0.190115
627 4.225969 -0.469689 0.552544 1.021690
628 1.622081 1.274145 0.318429 -0.116350
632 6.378691 -0.233390 0.583777 1.330170
636 2.006118 -1.429933 0.304131 0.457811
639 3.726831 1.524500 0.472949 0.000081
646 3.060401 0.714402 0.561411 -0.925973
649 1.798633 1.378657 0.348232 -0.116630
651 1.328967 -0.881753 0.409388 1.338230
652 0.994584 -0.591775 0.415683 0.279361
653 3.818614 0.574165 0.457063 -0.847469
657 1.786508 1.534586 0.172395 -1.295920
664 1.531221 1.307576 0.207709 0.150303
665 2.118042 -0.504357 0.299279 1.119190
667 4.344345 -1.111183 0.557578 0.683844
669 1.232964 -0.142530 0.313953 -1.461480
672 1.484273 -1.014387 0.293609 0.499007
673 1.495999 1.224542 0.442771 -0.395636
674 4.887377 -0.525255 0.541261 0.960872
675 2.336475 -1.061030 0.225783 0.621860
677 4.366204 0.421693 0.581743 -1.216790
678 3.206329 -1.445715 0.550470 0.163299
683 3.377395 -1.368096 0.494237 -0.038686
685 5.710836 0.668045 0.669493 -0.825992
689 4.544553 1.495857 0.667983 -0.188767
690 0.994642 0.157878 0.137721 -1.149230
693 0.563917 -0.535874 0.370749 1.420860
694 2.966888 -0.652716 0.481682 1.052190
696 2.580226 0.270058 0.303830 -1.139770
701 2.929996 -0.447437 0.360254 0.374521
703 2.065718 0.948936 0.502674 -0.608019
708 5.169629 0.442796 0.678589 -1.081750
714 4.878754 0.074434 0.645581 1.181860
715 0.265547 1.361139 0.202164 -1.117010
716 4.755526 0.663219 0.682099 -0.937167
717 3.084926 -1.484029 0.493757 0.117298
718 3.291017 0.928025 0.322178 -0.637190
719 5.186396 0.432449 0.570257 -1.055750
727 3.371801 -0.277046 0.406080 1.244760
728 3.957590 -1.260570 0.447761 0.382126
731 0.855381 0.085343 0.437095 -1.501530
732 5.269608 -0.378957 0.742286 1.108550
739 4.015665 -1.186130 0.574967 0.454380
741 2.175202 1.159138 0.321040 -0.429157
743 1.722740 -0.807553 0.595482 0.552087
745 5.762131 0.669689 0.578286 -1.026010
747 3.662155 -1.113266 0.693831 0.464387
755 3.141539 0.061242 0.544456 -1.463600
756 2.270680 -1.179730 0.523441 0.140994
758 3.692321 0.656095 0.581516 -0.834859
760 3.774451 -0.962430 0.633284 0.629487
763 2.469582 -0.820461 0.395007 0.867171
764 2.706199 -0.512555 0.476608 1.142850
777 1.288048 -1.383655 0.470778 0.246366
778 2.050956 -0.227417 0.074574 1.328600
